Name;Description;Group_of_People;Name_length;Description_length;desc_w/o_stopwords;name_w/o_stopwords;desc_plain;desc_token;desc_types;desc_TTR
List of Kingsman characters;Kingsman is a British-American spy action-comedy film series co-produced and directed by Matthew Vaughn and distributed by 20th Century Fox, based on the Icon Comics graphic novel by Mark Millar and Dave Gibbons. Consisting of two films, the following is a list of characters from Kingsman.;Film People;27;290;Kingsman British-American spy action-comedy film series co-produced directed Matthew Vaughn distributed 20th Century Fox, based Icon Comics graphic novel Mark Millar Dave Gibbons. Consisting two films, following list characters Kingsman.;List Kingsman characters;kingsman is a british-american spy action-comedy film series co-produced and directed by matthew vaughn and distributed by 20th century fox based on the icon comics graphic novel by mark millar and dave gibbons consisting of two films the following is a list of characters from kingsman ;46;37;80.43478260869566
List of feature films with LGBT characters;"The following is a list of feature films with fictional and factual lesbian, gay, bisexual, or transgender characters. The films were released theatrically, direct-to-video, or on a streaming platform (non-television network).
For queer characters  (""Q"" in LGBTQ), see lists for asexual, intersex, non-binary, and pansexual characters.";Film People;42;335;"The following list feature films fictional factual lesbian, gay, bisexual, transgender characters. The films released theatrically, direct-to-video, streaming platform (non-television network). For queer characters (""Q"" LGBTQ), see lists asexual, intersex, non-binary, pansexual characters.";List feature films LGBT characters;"the following is a list of feature films with fictional and factual lesbian gay bisexual or transgender characters the films were released theatrically direct-to-video or on a streaming platform non-television network 
for queer characters  ""q"" in lgbtq  see lists for asexual intersex non-binary and pansexual characters ";46;38;82.6086956521739
List of The Librarian characters;This is a list of characters in The Librarian series. They are all characters who have appeared either in the Librarian television films, or the Librarians series.;Film People;32;163;This list characters The Librarian series. They characters appeared either Librarian television films, Librarians series.;List The Librarian characters;this is a list of characters in the librarian series they are all characters who have appeared either in the librarian television films or the librarians series ;27;21;77.77777777777779
List of fictional couriers in film and television;This is a list of fictional couriers in film and television that have been identified by name in notable works. A courier is usually someone who delivers something such as a message, package, or letter from one person to another. Couriers can be employees working exclusively for one person or can be freelance who are hired for one job. Couriers are different than mail service as they are a single person working exclusively for their client at one time.;Film People;49;456;This list fictional couriers film television identified name notable works. A courier usually someone delivers something message, package, letter one person another. Couriers employees working exclusively one person freelance hired one job. Couriers different mail service single person working exclusively client one time.;List fictional couriers film television;this is a list of fictional couriers in film and television that have been identified by name in notable works a courier is usually someone who delivers something such as a message package or letter from one person to another couriers can be employees working exclusively for one person or can be freelance who are hired for one job couriers are different than mail service as they are a single person working exclusively for their client at one time ;79;56;70.88607594936708
List of original characters in The Lord of the Rings film series;This is a list of original characters in The Lord of the Rings film series, Peter Jackson's 2001-2003 film adaptation of J. R. R. Tolkien's 1954-1955 book.;Film People;64;155;This list original characters The Lord Rings film series, Peter Jackson's 2001-2003 film adaptation J. R. R. Tolkien's 1954-1955 book.;List original characters The Lord Rings film series;this is a list of original characters in the lord of the rings film series peter jackson s 2001-2003 film adaptation of j r r tolkien s 1954-1955 book ;29;23;79.3103448275862
List of Lorien Legacies characters;This is a list of characters appearing in the Lorien Legacies series of young adult science fiction books, written under the pseudonym Pittacus Lore.;Film People;34;149;This list characters appearing Lorien Legacies series young adult science fiction books, written pseudonym Pittacus Lore.;List Lorien Legacies characters;this is a list of characters appearing in the lorien legacies series of young adult science fiction books written under the pseudonym pittacus lore ;24;22;91.66666666666666
Characters of the Marvel Cinematic Universe;"The Marvel Cinematic Universe (MCU) is an American media franchise and shared universe that involves productions of superhero films and television series. These productions star various titular superheroes; they are independently produced by Marvel Studios and are based on characters that appear in American comic books published by Marvel Comics. The shared universe, much like the original Marvel Universe in comic books, was established by crossing over common plots, settings, casts, and characters.";Film People;43;504;"The Marvel Cinematic Universe (MCU) American media franchise shared universe involves productions superhero films television series. These productions star various titular superheroes; independently produced Marvel Studios based characters appear American comic books published Marvel Comics. The shared universe, much like original Marvel Universe comic books, established crossing common plots, settings, casts, characters.";Characters Marvel Cinematic Universe;the marvel cinematic universe mcu is an american media franchise and shared universe that involves productions of superhero films and television series these productions star various titular superheroes they are independently produced by marvel studios and are based on characters that appear in american comic books published by marvel comics the shared universe much like the original marvel universe in comic books was established by crossing over common plots settings casts and characters ;73;51;69.86301369863014
List of M*A*S*H characters;"This is a list of characters from the M*A*S*H franchise, covering the various fictional characters appearing in the novel MASH: A Novel About Three Army Doctors and its sequels, the 1970 film adaptation of the novel, and the television series M*A*S*H, AfterMASH, W*A*L*T*E*R, and Trapper John, M.D.
M*A*S*H is a popular media franchise revolving around the staff of the 4077th Mobile Army Surgical Hospital as they attempt to maintain sanity during the harshness of the Korean War.";Film People;26;481;This list characters M*A*S*H franchise, covering various fictional characters appearing novel MASH: A Novel About Three Army Doctors sequels, 1970 film adaptation novel, television series M*A*S*H, AfterMASH, W*A*L*T*E*R, Trapper John, M.D. M*A*S*H popular media franchise revolving around staff 4077th Mobile Army Surgical Hospital attempt maintain sanity harshness Korean War.;List M*A*S*H characters;"this is a list of characters from the m a s h franchise covering the various fictional characters appearing in the novel mash a novel about three army doctors and its sequels the 1970 film adaptation of the novel and the television series m a s h aftermash w a l t e r and trapper john m d 
m a s h is a popular media franchise revolving around the staff of the 4077th mobile army surgical hospital as they attempt to maintain sanity during the harshness of the korean war ";92;59;64.13043478260869
List of Matrix series characters;This is a list of characters from The Matrix franchise universe. Many of the characters listed here have names reflecting certain aspects of them, such as their status, personality, or role.;Film People;32;190;This list characters The Matrix franchise universe. Many characters listed names reflecting certain aspects them, status, personality, role.;List Matrix series characters;this is a list of characters from the matrix franchise universe many of the characters listed here have names reflecting certain aspects of them such as their status personality or role ;31;27;87.09677419354838
List of Ocean's characters;This is a list of characters from the Ocean's film series including Steven Soderbergh's Ocean's trilogy starting in 2001 with Ocean's Eleven, followed by 2004's Ocean's Twelve and finalized in 2007 with Ocean's Thirteen and followed by the 2018's spin-off Ocean's 8.;Film People;26;266;This list characters Ocean's film series including Steven Soderbergh's Ocean's trilogy starting 2001 Ocean's Eleven, followed 2004's Ocean's Twelve finalized 2007 Ocean's Thirteen followed 2018's spin-off Ocean's 8.;List Ocean's characters;this is a list of characters from the ocean s film series including steven soderbergh s ocean s trilogy starting in 2001 with ocean s eleven followed by 2004 s ocean s twelve and finalized in 2007 with ocean s thirteen and followed by the 2018 s spin-off ocean s 8 ;51;32;62.745098039215684
List of Osmosis Jones and Ozzy & Drix characters;The American live-action/animated 2001 film Osmosis Jones features a variety of fictional characters created by Marc Hyman. It followed up with American animated television series Ozzy & Drix which originally aired on Kids' WB from 2002 to 2004, shows a white blood cell police officer team up with a cold pill to defeat many germs and viruses. The series had twenty-six episodes in two seasons.;Film People;48;395;The American live-action/animated 2001 film Osmosis Jones features variety fictional characters created Marc Hyman. It followed American animated television series Ozzy & Drix originally aired Kids' WB 2002 2004, shows white blood cell police officer team cold pill defeat many germs viruses. The series twenty-six episodes two seasons.;List Osmosis Jones Ozzy & Drix characters;the american live-action/animated 2001 film osmosis jones features a variety of fictional characters created by marc hyman it followed up with american animated television series ozzy  drix which originally aired on kids wb from 2002 to 2004 shows a white blood cell police officer team up with a cold pill to defeat many germs and viruses the series had twenty-six episodes in two seasons ;64;56;87.5
List of The Pink Panther characters;The following is a list of characters from The Pink Panther feature film series.;Film People;35;80;The following list characters The Pink Panther feature film series.;List The Pink Panther characters;the following is a list of characters from the pink panther feature film series ;14;13;92.85714285714286
List of fictional primates in film;This is a list of fictional primates in film, and is a subsidiary to the list of fictional primates. The list is restricted to notable non-human characters from in film including monkeys, lemurs, chimpanzees, gorillas, orangutans, gibbons, and other primates.;Film People;34;259;This list fictional primates film, subsidiary list fictional primates. The list restricted notable non-human characters film including monkeys, lemurs, chimpanzees, gorillas, orangutans, gibbons, primates.;List fictional primates film;this is a list of fictional primates in film and is a subsidiary to the list of fictional primates the list is restricted to notable non-human characters from in film including monkeys lemurs chimpanzees gorillas orangutans gibbons and other primates ;40;26;65.0
List of The Producers characters;The following are fictional characters from the 1967 film The Producers, the Broadway musical based on it, and the 2005 film adaptation of the musical.;Film People;32;151;The following fictional characters 1967 film The Producers, Broadway musical based it, 2005 film adaptation musical.;List The Producers characters;the following are fictional characters from the 1967 film the producers the broadway musical based on it and the 2005 film adaptation of the musical ;25;18;72.0
List of Rambo characters;There are many characters in the Rambo franchise, although the only two to appear in multiple films are Rambo himself and Colonel Trautman.;Film People;24;139;There many characters Rambo franchise, although two appear multiple films Rambo Colonel Trautman.;List Rambo characters;there are many characters in the rambo franchise although the only two to appear in multiple films are rambo himself and colonel trautman ;23;19;82.6086956521739
List of Rocky characters;This is a list of characters from the Rocky film series, consisting of Rocky (1976), Rocky II (1979), Rocky III (1982), Rocky IV (1985), Rocky V (1990), Rocky Balboa (2006), Creed (2015), Creed II (2018) and Creed III (2022).;Film People;24;225;This list characters Rocky film series, consisting Rocky (1976), Rocky II (1979), Rocky III (1982), Rocky IV (1985), Rocky V (1990), Rocky Balboa (2006), Creed (2015), Creed II (2018) Creed III (2022).;List Rocky characters;this is a list of characters from the rocky film series consisting of rocky 1976  rocky ii 1979  rocky iii 1982  rocky iv 1985  rocky v 1990  rocky balboa 2006  creed 2015  creed ii 2018 and creed iii 2022 ;39;28;71.7948717948718
List of Scarface characters;This is a list of characters who appeared in the 1932 film Scarface, and its 1983 remake Scarface, as well as the quasi-sequel video game to the 1983 film, Scarface: The World Is Yours.;Film People;27;185;This list characters appeared 1932 film Scarface, 1983 remake Scarface, well quasi-sequel video game 1983 film, Scarface: The World Is Yours.;List Scarface characters;this is a list of characters who appeared in the 1932 film scarface and its 1983 remake scarface as well as the quasi-sequel video game to the 1983 film scarface the world is yours ;34;25;73.52941176470588
List of Sin City characters;"Sin City is a series of stories by Frank Miller, told in comic book form in a film noir-like style.
Listed below are the major and minor characters.";Film People;27;148;Sin City series stories Frank Miller, told comic book form film noir-like style. Listed major minor characters.;List Sin City characters;"sin city is a series of stories by frank miller told in comic book form in a film noir-like style 
listed below are the major and minor characters ";28;26;92.85714285714286
List of The Stand characters;"The following is a partial list of characters from Stephen King's novel The Stand. The novel was published in 1978, with its narrative set during the 1980s; however, a second edition was released in 1990, is considerably longer than the first version (1,200 pages compared to 800 pages), and is set in the 1990s. The two versions are essentially the same, although some content was added in the second version, including a new ending. The book was also adapted into a television mini-series, starring Gary Sinise, Molly Ringwald, and Rob Lowe and was released by the American Broadcasting Company (ABC) network in 1994. In 2008, Marvel Comics published a comic book adaptation that was ended in 2012. Warner Bros. Pictures released an announcement in January 2011 that the company would be producing a movie remake of the King novel. The project never came to fruition and the book was eventually adapted as a second miniseries for the streaming service CBS All Access where it is currently streaming.";Film People;28;1001;"The following partial list characters Stephen King's novel The Stand. The novel published 1978, narrative set 1980s; however, second edition released 1990, considerably longer first version (1,200 pages compared 800 pages), set 1990s. The two versions essentially same, although content added second version, including new ending. The book also adapted television mini-series, starring Gary Sinise, Molly Ringwald, Rob Lowe released American Broadcasting Company (ABC) network 1994. In 2008, Marvel Comics published comic book adaptation ended 2012. Warner Bros. Pictures released announcement January 2011 company would producing movie remake King novel. The project never came fruition book eventually adapted second miniseries streaming service CBS All Access currently streaming.";List The Stand characters;the following is a partial list of characters from stephen king s novel the stand the novel was published in 1978 with its narrative set during the 1980s however a second edition was released in 1990 is considerably longer than the first version 1 200 pages compared to 800 pages  and is set in the 1990s the two versions are essentially the same although some content was added in the second version including a new ending the book was also adapted into a television mini-series starring gary sinise molly ringwald and rob lowe and was released by the american broadcasting company abc network in 1994 in 2008 marvel comics published a comic book adaptation that was ended in 2012 warner bros pictures released an announcement in january 2011 that the company would be producing a movie remake of the king novel the project never came to fruition and the book was eventually adapted as a second miniseries for the streaming service cbs all access where it is currently streaming ;169;110;65.08875739644971
List of Thomas & Friends film characters;The following article lists the characters from Thomas & Friends. It only shows those which appeared in the films first.;Film People;40;120;The following article lists characters Thomas & Friends. It shows appeared films first.;List Thomas & Friends film characters;the following article lists the characters from thomas  friends it only shows those which appeared in the films first ;19;17;89.47368421052632
List of Twilight characters;The following is a list of characters in the Twilight novel series by Stephenie Meyer, comprising the books Twilight, New Moon, Eclipse and Breaking Dawn, as well as The Twilight Saga film series adaptations.;Film People;27;208;The following list characters Twilight novel series Stephenie Meyer, comprising books Twilight, New Moon, Eclipse Breaking Dawn, well The Twilight Saga film series adaptations.;List Twilight characters;the following is a list of characters in the twilight novel series by stephenie meyer comprising the books twilight new moon eclipse and breaking dawn as well as the twilight saga film series adaptations ;34;27;79.41176470588235
Lists of sportspeople;There are a variety of articles listing sportspeople of a particular sport.;Sports People;21;75;There variety articles listing sportspeople particular sport.;Lists sportspeople;there are a variety of articles listing sportspeople of a particular sport ;12;10;83.33333333333334
Lists of American football players;Lists of American football players include:;Sports People;34;43;Lists American football players include:;Lists American football players;lists of american football players include ;6;6;100.0
Lists of association football players;The following are lists of people who play men's football (soccer). For people who play women's football (soccer), see Lists of women's association football players.;Sports People;37;165;The following lists people play men's football (soccer). For people play women's football (soccer), see Lists women's association football players.;Lists association football players;the following are lists of people who play men s football soccer  for people who play women s football soccer  see lists of women s association football players ;28;17;60.71428571428571
Lists of women's association football players;"The following are lists of people who play women's football (soccer).

List of women's footballers with 100 or more international goals
List of women's footballers with 100 or more international caps
List of top international women's football goal scorers by country
List of English women's football champions
List of England women's international footballers
List of foreign FA Women's Super League players
List of foreign NWSL players
List of United States women's international soccer players
List of women's Olympic football tournament records and statistics
List of goalscoring goalkeepers
List of association football families";Sports People;45;632;The following lists people play women's football (soccer). List women's footballers 100 international goals List women's footballers 100 international caps List top international women's football goal scorers country List English women's football champions List England women's international footballers List foreign FA Women's Super League players List foreign NWSL players List United States women's international soccer players List women's Olympic football tournament records statistics List goalscoring goalkeepers List association football families;Lists women's association football players;"the following are lists of people who play women s football soccer 

list of women s footballers with 100 or more international goals
list of women s footballers with 100 or more international caps
list of top international women s football goal scorers by country
list of english women s football champions
list of england women s international footballers
list of foreign fa women s super league players
list of foreign nwsl players
list of united states women s international soccer players
list of women s olympic football tournament records and statistics
list of goalscoring goalkeepers
list of association football families";101;46;45.54455445544555
Lists of Canadian international soccer players;"The following are lists of Canadian international soccer players:

List of Canada men's international soccer players
List of Canada women's international soccer players";Sports People;46;168;The following lists Canadian international soccer players: List Canada men's international soccer players List Canada women's international soccer players;Lists Canadian international soccer players;"the following are lists of canadian international soccer players 

list of canada men s international soccer players
list of canada women s international soccer players";25;14;56.00000000000001
Lists of College Football Hall of Fame inductees;"The List of College Football Hall of Fame inductees is divided into alphabetical lists of players and of coaches who have been inducted into the College Football Hall of Fame, which is devoted to celebrating college football in the United States. The museum is operated by the non-profit National Football Foundation and is in Atlanta, Georgia.
Including the 2019 class, there were 1,010 players and 219 coaches enshrined in the College Football Hall of Fame, representing 311 schools.";Sports People;48;485;The List College Football Hall Fame inductees divided alphabetical lists players coaches inducted College Football Hall Fame, devoted celebrating college football United States. The museum operated non-profit National Football Foundation Atlanta, Georgia. Including 2019 class, 1,010 players 219 coaches enshrined College Football Hall Fame, representing 311 schools.;Lists College Football Hall Fame inductees;"the list of college football hall of fame inductees is divided into alphabetical lists of players and of coaches who have been inducted into the college football hall of fame which is devoted to celebrating college football in the united states the museum is operated by the non-profit national football foundation and is in atlanta georgia 
including the 2019 class there were 1 010 players and 219 coaches enshrined in the college football hall of fame representing 311 schools ";79;47;59.49367088607595
Sportspeople who died during their careers;Sportspeople who died during their careers are covered in lists by sport, and in the case of motorsports by location.;Sports People;42;117;Sportspeople died careers covered lists sport, case motorsports location.;Sportspeople died careers;sportspeople who died during their careers are covered in lists by sport and in the case of motorsports by location ;20;18;90.0
Lists of golfers;"The following lists of golfers are arranged by gender:

List of male golfers
List of female golfers";Sports People;16;99;The following lists golfers arranged gender: List male golfers List female golfers;Lists golfers;"the following lists of golfers are arranged by gender 

list of male golfers
list of female golfers";17;12;70.58823529411765
Lists of Indian cricketers;Below is a list of lists of Indian cricketers.;Sports People;26;46;Below list lists Indian cricketers.;Lists Indian cricketers;below is a list of lists of indian cricketers ;9;8;88.88888888888889
Lists of kickboxers;"List of kickboxers may refer to:

List of male kickboxers
List of female kickboxers";Sports People;19;83;List kickboxers may refer to: List male kickboxers List female kickboxers;Lists kickboxers;"list of kickboxers may refer to 

list of male kickboxers
list of female kickboxers";14;8;57.14285714285714
List of Swedish handball champions;"List of Swedish handball champions may refer to:

List of Swedish men's handball champions
List of Swedish women's handball champions";Sports People;34;133;List Swedish handball champions may refer to: List Swedish men's handball champions List Swedish women's handball champions;List Swedish handball champions;"list of swedish handball champions may refer to 

list of swedish men s handball champions
list of swedish women s handball champions";22;11;50.0
List of University of Florida basketball players;"List of University of Florida basketball players may refer to:

List of Florida Gators in the NBA
List of Florida Gators in the WNBA";Sports People;48;132;List University Florida basketball players may refer to: List Florida Gators NBA List Florida Gators WNBA;List University Florida basketball players;"list of university of florida basketball players may refer to 

list of florida gators in the nba
list of florida gators in the wnba";24;14;58.333333333333336
List of wheelchair tennis champions;"There are several lists of wheelchair tennis champions:

List of men's wheelchair tennis champions
List of women's wheelchair tennis champions
List of quad wheelchair tennis championsWheelchair tennis at the Summer Paralympics#Medalists";Sports People;35;236;There several lists wheelchair tennis champions: List men's wheelchair tennis champions List women's wheelchair tennis champions List quad wheelchair tennis championsWheelchair tennis Summer Paralympics#Medalists;List wheelchair tennis champions;"there are several lists of wheelchair tennis champions 

list of men s wheelchair tennis champions
list of women s wheelchair tennis champions
list of quad wheelchair tennis championswheelchair tennis at the summer paralympics medalists";34;19;55.88235294117647
List of Maharlika Pilipinas Basketball League players;"The List of Maharlika Pilipinas Basketball League players covers players in the Maharlika Pilipinas Basketball League (MPBL), a regional men's semi-professional basketball league in the Philippines. The list is divided into alphabetical sub-lists:

List of Maharlika Pilipinas Basketball League players (A–E)
List of Maharlika Pilipinas Basketball League players (F–J)
List of Maharlika Pilipinas Basketball League players (K–O)
List of Maharlika Pilipinas Basketball League players (P–T)
List of Maharlika Pilipinas Basketball League players (U–Z)";Sports People;53;548;The List Maharlika Pilipinas Basketball League players covers players Maharlika Pilipinas Basketball League (MPBL), regional men's semi-professional basketball league Philippines. The list divided alphabetical sub-lists: List Maharlika Pilipinas Basketball League players (A–E) List Maharlika Pilipinas Basketball League players (F–J) List Maharlika Pilipinas Basketball League players (K–O) List Maharlika Pilipinas Basketball League players (P–T) List Maharlika Pilipinas Basketball League players (U–Z);List Maharlika Pilipinas Basketball League players;"the list of maharlika pilipinas basketball league players covers players in the maharlika pilipinas basketball league mpbl  a regional men s semi-professional basketball league in the philippines the list is divided into alphabetical sub-lists 

list of maharlika pilipinas basketball league players a–e 
list of maharlika pilipinas basketball league players f–j 
list of maharlika pilipinas basketball league players k–o 
list of maharlika pilipinas basketball league players p–t 
list of maharlika pilipinas basketball league players u–z ";74;27;36.486486486486484
Lists of Major League Baseball players;"This list consists of players who have appeared in Major League Baseball. Note that the list also includes players who appeared in the National Association of Professional Base Ball Players, which is not universally considered a major league.
The list is broken down into a page of each letter to reduce the size. Some letters are also broken down further for the same reason.";Sports People;38;376;This list consists players appeared Major League Baseball. Note list also includes players appeared National Association Professional Base Ball Players, universally considered major league. The list broken page letter reduce size. Some letters also broken reason.;Lists Major League Baseball players;"this list consists of players who have appeared in major league baseball note that the list also includes players who appeared in the national association of professional base ball players which is not universally considered a major league 
the list is broken down into a page of each letter to reduce the size some letters are also broken down further for the same reason ";64;44;68.75
Lists of Marylebone Cricket Club players;Lists of Marylebone Cricket Club players cover players for the Marylebone Cricket Club, founded in 1787 and based since 1814 at Lord's Cricket Ground. The lists are divided by period.;Sports People;40;183;Lists Marylebone Cricket Club players cover players Marylebone Cricket Club, founded 1787 based since 1814 Lord's Cricket Ground. The lists divided period.;Lists Marylebone Cricket Club players;lists of marylebone cricket club players cover players for the marylebone cricket club founded in 1787 and based since 1814 at lord s cricket ground the lists are divided by period ;31;24;77.41935483870968
List of NASCAR champions;"List of NASCAR champions could refer to:

List of NASCAR Cup Series champions
List of NASCAR Xfinity Series champions
List of NASCAR Truck Series champions
List of NASCAR K&N Pro Series East champions
List of NASCAR K&N Pro Series West champions
List of NASCAR Pinty's Series champions
List of NASCAR Whelen Euro Series champions
List of NASCAR Whelen Modified Tour champions
List of NASCAR Whelen Southern Modified Tour champions
List of NASCAR Whelen All-American Series national champions";Sports People;24;491;List NASCAR champions could refer to: List NASCAR Cup Series champions List NASCAR Xfinity Series champions List NASCAR Truck Series champions List NASCAR K&N Pro Series East champions List NASCAR K&N Pro Series West champions List NASCAR Pinty's Series champions List NASCAR Whelen Euro Series champions List NASCAR Whelen Modified Tour champions List NASCAR Whelen Southern Modified Tour champions List NASCAR Whelen All-American Series national champions;List NASCAR champions;"list of nascar champions could refer to 

list of nascar cup series champions
list of nascar xfinity series champions
list of nascar truck series champions
list of nascar k n pro series east champions
list of nascar k n pro series west champions
list of nascar pinty s series champions
list of nascar whelen euro series champions
list of nascar whelen modified tour champions
list of nascar whelen southern modified tour champions
list of nascar whelen all-american series national champions";80;25;31.25
Lists of National Basketball Association players;"This article comprises lists of National Basketball Association (NBA) players.
These lists include players from the American National Basketball League (NBL), the Basketball Association of America (BAA), and the original American Basketball Association (ABA).  All of these leagues contributed to the formation of the present-day NBA.";Sports People;48;334;This article comprises lists National Basketball Association (NBA) players. These lists include players American National Basketball League (NBL), Basketball Association America (BAA), original American Basketball Association (ABA). All leagues contributed formation present-day NBA.;Lists National Basketball Association players;"this article comprises lists of national basketball association nba players 
these lists include players from the american national basketball league nbl  the basketball association of america baa  and the original american basketball association aba  all of these leagues contributed to the formation of the present-day nba ";46;28;60.86956521739131
Lists of Olympic medalists in handball;"The following articles contain lists of Olympic medalists in handball:

List of Olympic medalists in handball (men)
List of Olympic medalists in handball (women)";Sports People;38;161;The following articles contain lists Olympic medalists handball: List Olympic medalists handball (men) List Olympic medalists handball (women);Lists Olympic medalists handball;"the following articles contain lists of olympic medalists in handball 

list of olympic medalists in handball men 
list of olympic medalists in handball women ";24;13;54.166666666666664
Lists of Olympic medalists in swimming;Lists of Olympic medalists in swimming are lists of people who have won medals in swimming competitions at the Summer Olympic Games.;Sports People;38;132;Lists Olympic medalists swimming lists people medals swimming competitions Summer Olympic Games.;Lists Olympic medalists swimming;lists of olympic medalists in swimming are lists of people who have won medals in swimming competitions at the summer olympic games ;22;17;77.27272727272727
Lists of Olympic medalists in water polo;"The following articles contain lists of Olympic medalists in water polo:

List of Olympic medalists in water polo (men)
List of Olympic medalists in water polo (women)";Sports People;40;167;The following articles contain lists Olympic medalists water polo: List Olympic medalists water polo (men) List Olympic medalists water polo (women);Lists Olympic medalists water polo;"the following articles contain lists of olympic medalists in water polo 

list of olympic medalists in water polo men 
list of olympic medalists in water polo women ";27;14;51.85185185185185
Lists of one-club men;"List of one-club men may refer to:

List of one-club men in association football
List of one-club men in rugby league
List of Major League Baseball players who spent their entire career with one franchise
List of NBA players who have spent their entire career with one franchise
List of NHL players who spent their entire career with one franchise";Sports People;21;347;List one-club men may refer to: List one-club men association football List one-club men rugby league List Major League Baseball players spent entire career one franchise List NBA players spent entire career one franchise List NHL players spent entire career one franchise;Lists one-club men;"list of one-club men may refer to 

list of one-club men in association football
list of one-club men in rugby league
list of major league baseball players who spent their entire career with one franchise
list of nba players who have spent their entire career with one franchise
list of nhl players who spent their entire career with one franchise";60;26;43.333333333333336
Lists of Philippine Basketball Association imports;This Philippine Basketball Association (PBA) page is used for splitting purposes to prevent this list from becoming too large. The following list articles have been created for easier navigation among all-time PBA imports, or players who are considered as foreigners in the league:;Sports People;50;281;This Philippine Basketball Association (PBA) page used splitting purposes prevent list becoming large. The following list articles created easier navigation among all-time PBA imports, players considered foreigners league:;Lists Philippine Basketball Association imports;this philippine basketball association pba page is used for splitting purposes to prevent this list from becoming too large the following list articles have been created for easier navigation among all-time pba imports or players who are considered as foreigners in the league ;43;38;88.37209302325581
Lists of Philippine Basketball Association players;This Philippine Basketball Association (PBA) page is used for splitting purposes to prevent this list from becoming too large. The following list articles have been created for easier navigation among all-time PBA players:;Sports People;50;222;This Philippine Basketball Association (PBA) page used splitting purposes prevent list becoming large. The following list articles created easier navigation among all-time PBA players:;Lists Philippine Basketball Association players;this philippine basketball association pba page is used for splitting purposes to prevent this list from becoming too large the following list articles have been created for easier navigation among all-time pba players ;33;29;87.87878787878788
List of Pro Bowl players;"The following is a list of players, both past and current, who have been selected to play in the NFL's annual Pro Bowl game, beginning with the 1950 season.
Between 1938 and 1942, an NFL all star team played the league champion in the NFL All-Star Game. Participants in these games are not recognized by the NFL as Pro Bowlers, and they are not included in this list. No games were played between 1943 and 1950.
Between 1961 and 1969, the NFL and AFL played separate all-star games. This list includes players who were selected to play in the American Football League All-Star game during that period.
Players are listed alphabetically, by surname:


== References ==";Sports People;24;667;The following list players, past current, selected play NFL's annual Pro Bowl game, beginning 1950 season. Between 1938 1942, NFL star team played league champion NFL All-Star Game. Participants games recognized NFL Pro Bowlers, included list. No games played 1943 1950. Between 1961 1969, NFL AFL played separate all-star games. This list includes players selected play American Football League All-Star game period. Players listed alphabetically, surname: == References ==;List Pro Bowl players;"the following is a list of players both past and current who have been selected to play in the nfl s annual pro bowl game beginning with the 1950 season 
between 1938 and 1942 an nfl all star team played the league champion in the nfl all-star game participants in these games are not recognized by the nfl as pro bowlers and they are not included in this list no games were played between 1943 and 1950 
between 1961 and 1969 the nfl and afl played separate all-star games this list includes players who were selected to play in the american football league all-star game during that period 
players are listed alphabetically by surname 


== references ==";117;69;58.97435897435898
Lists of professional bodybuilders;"The following articles contain lists of professional bodybuilders:

List of female professional bodybuilders
List of male professional bodybuilders
List of British bodybuilders
List of German bodybuilders";Sports People;34;204;The following articles contain lists professional bodybuilders: List female professional bodybuilders List male professional bodybuilders List British bodybuilders List German bodybuilders;Lists professional bodybuilders;"the following articles contain lists of professional bodybuilders 

list of female professional bodybuilders
list of male professional bodybuilders
list of british bodybuilders
list of german bodybuilders";26;13;50.0
Lists of professional wrestling personnel;This is an incomplete list of professional wrestlers, commentators, managers, road agents, and other workers associated in professional wrestling categorised by the promotion of which the wrestlers are mainly associated:;Sports People;41;220;This incomplete list professional wrestlers, commentators, managers, road agents, workers associated professional wrestling categorised promotion wrestlers mainly associated:;Lists professional wrestling personnel;this is an incomplete list of professional wrestlers commentators managers road agents and other workers associated in professional wrestling categorised by the promotion of which the wrestlers are mainly associated ;30;25;83.33333333333334
List of athletes who came out of retirement;"In most cases, when a professional athlete announces retirement, he or she retires and then never returns to playing professional sports; however, in rare instances there are some athletes who came out of retirement. The following list shows such athletes in addition to any noteworthy achievements that they earned during their playing career after returning from retirement. It includes only professional athletes who announced retirement, were retired for at least one full season or year, and then returned to play their sport in at least one regular season contest. The list does not include players who sat out at least one full season due to injury and then returned to play without having ever officially announced retirement, nor does it include players whose careers were interrupted because of military service or incarceration. It also excludes free agents who were unable to find a team for at least a season and signed with a team at a later point without having ever officially announced retirement.";Sports People;43;1014;"In cases, professional athlete announces retirement, retires never returns playing professional sports; however, rare instances athletes came retirement. The following list shows athletes addition noteworthy achievements earned playing career returning retirement. It includes professional athletes announced retirement, retired least one full season year, returned play sport least one regular season contest. The list include players sat least one full season due injury returned play without ever officially announced retirement, include players whose careers interrupted military service incarceration. It also excludes free agents unable find team least season signed team later point without ever officially announced retirement.";List athletes came retirement;in most cases when a professional athlete announces retirement he or she retires and then never returns to playing professional sports however in rare instances there are some athletes who came out of retirement the following list shows such athletes in addition to any noteworthy achievements that they earned during their playing career after returning from retirement it includes only professional athletes who announced retirement were retired for at least one full season or year and then returned to play their sport in at least one regular season contest the list does not include players who sat out at least one full season due to injury and then returned to play without having ever officially announced retirement nor does it include players whose careers were interrupted because of military service or incarceration it also excludes free agents who were unable to find a team for at least a season and signed with a team at a later point without having ever officially announced retirement ;164;97;59.14634146341463
